Iter 1 Batch 81/3140: Error = 377.944702 ; Learning Rate = 0.001000	
Iter 1 Batch 82/3140: Error = 377.720795 ; Learning Rate = 0.001000	
Iter 1 Batch 83/3140: Error = 376.962646 ; Learning Rate = 0.001000	
Iter 1 Batch 84/3140: Error = 376.402039 ; Learning Rate = 0.001000	
Iter 1 Batch 85/3140: Error = 375.051941 ; Learning Rate = 0.001000	
Iter 1 Batch 86/3140: Error = 376.509430 ; Learning Rate = 0.001000	
Iter 1 Batch 87/3140: Error = 375.546448 ; Learning Rate = 0.001000	
Iter 1 Batch 88/3140: Error = 374.072815 ; Learning Rate = 0.001000	
Iter 1 Batch 89/3140: Error = 373.452454 ; Learning Rate = 0.001000	
Iter 1 Batch 90/3140: Error = 374.416382 ; Learning Rate = 0.001000	
Iter 1 Batch 91/3140: Error = 374.263763 ; Learning Rate = 0.001000	
Iter 1 Batch 92/3140: Error = 373.153900 ; Learning Rate = 0.001000	
Iter 1 Batch 93/3140: Error = 373.150452 ; Learning Rate = 0.001000	
Iter 1 Batch 94/3140: Error = 371.020508 ; Learning Rate = 0.001000	
Iter 1 Batch 95/3140: Error = 370.718140 ; Learning Rate = 0.001000	
Iter 1 Batch 96/3140: Error = 371.470734 ; Learning Rate = 0.001000	
Iter 1 Batch 97/3140: Error = 370.993103 ; Learning Rate = 0.001000	
Iter 1 Batch 98/3140: Error = 370.479065 ; Learning Rate = 0.001000	
Iter 1 Batch 99/3140: Error = 369.681519 ; Learning Rate = 0.001000	
Iter 1 Batch 100/3140: Error = 368.251740 ; Learning Rate = 0.001000	
Iter 1 Batch 101/3140: Error = 368.307983 ; Learning Rate = 0.001000	
Iter 1 Batch 102/3140: Error = 368.344666 ; Learning Rate = 0.001000	
Iter 1 Batch 103/3140: Error = 367.809357 ; Learning Rate = 0.001000	
Iter 1 Batch 104/3140: Error = 366.227356 ; Learning Rate = 0.001000	
Iter 1 Batch 105/3140: Error = 366.018860 ; Learning Rate = 0.001000	
Iter 1 Batch 106/3140: Error = 366.506409 ; Learning Rate = 0.001000	
Iter 1 Batch 107/3140: Error = 365.130737 ; Learning Rate = 0.001000	
Iter 1 Batch 108/3140: Error = 364.819794 ; Learning Rate = 0.001000	
Iter 1 Batch 109/3140: Error = 364.578979 ; Learning Rate = 0.001000	
Iter 1 Batch 110/3140: Error = 364.123047 ; Learning Rate = 0.001000	
Iter 1 Batch 111/3140: Error = 362.745361 ; Learning Rate = 0.001000	
Iter 1 Batch 112/3140: Error = 362.861084 ; Learning Rate = 0.001000	
Iter 1 Batch 113/3140: Error = 362.610077 ; Learning Rate = 0.001000	
Iter 1 Batch 114/3140: Error = 362.067047 ; Learning Rate = 0.001000	
Iter 1 Batch 115/3140: Error = 360.678833 ; Learning Rate = 0.001000	
Iter 1 Batch 116/3140: Error = 357.895599 ; Learning Rate = 0.001000	
Iter 1 Batch 117/3140: Error = 359.748779 ; Learning Rate = 0.001000	
Iter 1 Batch 118/3140: Error = 359.065460 ; Learning Rate = 0.001000	
Iter 1 Batch 119/3140: Error = 359.001740 ; Learning Rate = 0.001000	
Iter 1 Batch 120/3140: Error = 358.043701 ; Learning Rate = 0.001000	
Iter 1 Batch 121/3140: Error = 357.226746 ; Learning Rate = 0.001000	
Iter 1 Batch 122/3140: Error = 357.713501 ; Learning Rate = 0.001000	
Iter 1 Batch 123/3140: Error = 356.881378 ; Learning Rate = 0.001000	
Iter 1 Batch 124/3140: Error = 356.184021 ; Learning Rate = 0.001000	
Iter 1 Batch 125/3140: Error = 355.830048 ; Learning Rate = 0.001000	
Iter 1 Batch 126/3140: Error = 355.470947 ; Learning Rate = 0.001000	
Iter 1 Batch 127/3140: Error = 355.482300 ; Learning Rate = 0.001000	
Iter 1 Batch 128/3140: Error = 354.134399 ; Learning Rate = 0.001000	
Iter 1 Batch 129/3140: Error = 353.433502 ; Learning Rate = 0.001000	
Iter 1 Batch 130/3140: Error = 353.905151 ; Learning Rate = 0.001000	
Iter 1 Batch 131/3140: Error = 351.574158 ; Learning Rate = 0.001000	
Iter 1 Batch 132/3140: Error = 352.322235 ; Learning Rate = 0.001000	
Iter 1 Batch 133/3140: Error = 351.440369 ; Learning Rate = 0.001000	
Iter 1 Batch 134/3140: Error = 351.533203 ; Learning Rate = 0.001000	
Iter 1 Batch 135/3140: Error = 350.076233 ; Learning Rate = 0.001000	
Iter 1 Batch 136/3140: Error = 350.488556 ; Learning Rate = 0.001000	
Iter 1 Batch 137/3140: Error = 350.360962 ; Learning Rate = 0.001000	
Iter 1 Batch 138/3140: Error = 349.520813 ; Learning Rate = 0.001000	
Iter 1 Batch 139/3140: Error = 349.047302 ; Learning Rate = 0.001000	
Iter 1 Batch 140/3140: Error = 348.329834 ; Learning Rate = 0.001000	
Iter 1 Batch 141/3140: Error = 347.656982 ; Learning Rate = 0.001000	
Iter 1 Batch 142/3140: Error = 347.630798 ; Learning Rate = 0.001000	
Iter 1 Batch 143/3140: Error = 346.507874 ; Learning Rate = 0.001000	
Iter 1 Batch 144/3140: Error = 346.072479 ; Learning Rate = 0.001000	
Iter 1 Batch 145/3140: Error = 344.503784 ; Learning Rate = 0.001000	
Iter 1 Batch 146/3140: Error = 344.736450 ; Learning Rate = 0.001000	
Iter 1 Batch 147/3140: Error = 344.712830 ; Learning Rate = 0.001000	
Iter 1 Batch 148/3140: Error = 343.520447 ; Learning Rate = 0.001000	
Iter 1 Batch 149/3140: Error = 342.911438 ; Learning Rate = 0.001000	
Iter 1 Batch 150/3140: Error = 342.644104 ; Learning Rate = 0.001000	
Iter 1 Batch 151/3140: Error = 342.354095 ; Learning Rate = 0.001000	
Iter 1 Batch 152/3140: Error = 341.509705 ; Learning Rate = 0.001000	
Iter 1 Batch 153/3140: Error = 341.389801 ; Learning Rate = 0.001000	
Iter 1 Batch 154/3140: Error = 340.863007 ; Learning Rate = 0.001000	
Iter 1 Batch 155/3140: Error = 340.227295 ; Learning Rate = 0.001000	
Iter 1 Batch 156/3140: Error = 339.675232 ; Learning Rate = 0.001000	
Iter 1 Batch 157/3140: Error = 339.437256 ; Learning Rate = 0.001000	
Iter 1 Batch 158/3140: Error = 339.046906 ; Learning Rate = 0.001000	
Iter 1 Batch 159/3140: Error = 336.772644 ; Learning Rate = 0.001000	
